pos_L2H	w_L2H	p0_L2H	pos_H2L	w_H2L	p0_H2L	gammaC1	gammaW1	deltaE1	eta1	width1	gammaC2	gammaW2	deltaE2	eta2	width2	gamC_L	gamW_L	delE_L	eta_L	width_L	c	Vg	T	error
-9.038048e-01	4.686952e-03	0.000000e+00	-1.916573e-01	4.499361e-02	-1.433412e-03	2.613680e-06	4.536614e-02	3.599335e-01	7.515453e-01	3.260929e-02	1.544144e-05	5.329581e-02	5.355665e-01	7.796647e-01	-4.307033e-01	1.723641e-08	-9.520859e-03	6.574643e-01	5.472038e-01	4.461404e-02	0.000000e+00	0.000000e+00	3.000000e+02	1.02515
-9.040428e-01	4.726053e-03	0.000000e+00	-1.711618e-01	4.657090e-02	-2.314085e-03	2.857650e-06	5.824353e-02	3.429671e-01	7.748921e-01	1.720490e-02	9.107267e-06	3.164554e-02	5.548680e-01	7.820255e-01	-9.940757e-02	1.347839e-08	-3.499816e-03	6.130775e-01	5.517244e-01	2.947332e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.88188
-9.034986e-01	4.609600e-03	0.000000e+00	-1.685629e-01	4.670396e-02	-2.334289e-03	2.491732e-06	5.461406e-02	3.410148e-01	7.792789e-01	1.501425e-02	1.010671e-05	3.355640e-02	5.590421e-01	7.802265e-01	-1.214020e-02	1.263505e-08	1.017972e-03	6.009207e-01	5.609806e-01	3.290876e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.87953
-9.008059e-01	4.010735e-03	0.000000e+00	-1.676572e-01	4.605929e-02	-2.338007e-03	2.420735e-06	5.398891e-02	3.413650e-01	7.798904e-01	1.452781e-02	1.055956e-05	3.521279e-02	5.594224e-01	7.800252e-01	4.244598e-03	1.323178e-08	3.436603e-03	5.995850e-01	5.748325e-01	3.285030e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.80579
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374276e-03	2.436409e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374276e-03	2.436409e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
-8.984962e-01	3.501448e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374276e-03	2.436409e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374276e-03	2.436409e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540069e-02	-2.374276e-03	2.436409e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374291e-03	2.436409e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374276e-03	2.451310e-06	5.391934e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76198
-8.984962e-01	3.501433e-03	0.000000e+00	-1.676245e-01	4.540068e-02	-2.374276e-03	2.436409e-06	5.391936e-02	3.414258e-01	7.799791e-01	1.446940e-02	1.055728e-05	3.545258e-02	5.594663e-01	7.800041e-01	6.169076e-03	1.362630e-08	4.488962e-03	5.998074e-01	5.790698e-01	3.246181e-02	0.000000e+00	0.000000e+00	3.000000e+02	0.76201
